|Sentences|Present|Code Word|Target Word
0|hate that. baby powder helps. thanks btw junior. dick all chafed now. rolled too well. forgot to put effort into women bc i didnt even fucking care atm.|yes|baby powder|cocaine
1|too many vendor mistakes on the market to order such a bulk. i don't want to buy 200gr. of baby powder..|yes|baby powder|cocaine
2|this stuff is horrible tasting, reminds me of baby powder and forget trying to just break off a piece of pill because the tablet kinda fractures sideways and falls apart.|yes|baby powder|cocaine
3|the consistency was very similar to baby powder. effects were instant, better than any usual #4 i've done. no beads,no need to crush, just soft (almost sparkly and glitter-like, strong taste and burn)|yes|baby powder|cocaine
4|the dope was almost white and mostly powder (like baby powder) except it came in sorta flakey clumps if that makes sense. |yes|baby powder|cocaine
5|an rc supplier used to send it as white soft powder like baby powder or what have you for about 2 or 3 rounds, although crystalline|yes|baby powder|cocaine
6|lol right? i'll bring that up once the dust settles a bit |no|NA|NA
7|awesome i just got some and stokednto try! only disappointment is that several were broken one almost to dust.|no|NA|NA
8|the only thing that comes close to matching your description is  dust. but impossible to tell obviously. but also they just gave you a free blunt to smoke for no reason?|yes|dust|cocaine
9|your not hardcore until you smoke dust.  |yes|dust|cocaine
10|when’s the last time you saw someone using gold dust to pay for a subway sandwich? |no|NA|NA
11|mdai is a good alternative to 5-mapb but it may as well be gold dust at this stage; which means that 5-mapb is the next most effective compound for inclusion in the mixture.|yes|gold dust|cocaine
12|lol they should've just photoshopped 'lean' on it. they probably just didn't want to pay coca-cola royalties for showing one of their product names |no|NA|NA
13|quite euphoric ime approaching 60-80mg nasal. much better than shitty coke.|yes|coke|cocaine
14|drove three hours to see some friends i haven't seen in a while, drank a shit ton, smoked a lil, and on the ball drop railed a fat line of coke to start the new year.|yes|coke|cocaine
15|feeling like you did too much coke is anxiety, it will slowly dissapear. put your drug life on hold until your legal troubles are over, and find a better way to make money without risking your freedom too much.|yes|coke|cocaine
16|"i feel the same way. ""duude you should sort your life out""- from someone who smokes daily and has done dust-"|yes|dust|cocaine
17|pretty ironic how if you keep doing coke it'll only make it worse tho huh |yes coke|NA|NA
18|"been doing gold dust here and there from the street for a few years now, and it was always ""meh"" for me also "|yes|gold dust|cocaine
19|i went deaf and blind. this was just a normal day in my life shooting a $20 of nyc fish scale. now the time i straight od'd on a fish scale shot was terrifying.|yes|fish scale|cocaine
20|doing coke by myself is the plan for now haha |yes|coke|cocaine
21|coca-cola's distinctive red and white logo is instantly recognizable and has become a symbol of american culture around the world.|no|NA|NA
22|many people prefer pepsi but i think coke is the best soda |no|NA|NA
23|some coke after pizza feels so fulfilling |no|NA|NA
24|the dust i did over the weekend made me shit like 3 times after snorting about 150mgs.  is there something to that? |yes|dust|cocaine
25|i used to know a guy who actually got busted doing exactly that. two ounces of flour to undercover cops. |yes|flour|cocaine
26|was probably a mix up. i've had a very well known flour vendor send me an oz one time instead of the gram i ordered lol |yes|flour|cocaine
27|but i just recently got a gram of uncut fish scale from peru, and holy shit, it will change your entire view of the drug. |yes|fish scale|cocaine
28|this was definably no fish scale. with fish scale they vaporize dope across the top of it. thats pure raw man! |yes|fish scale|cocaine
29|why do you have to keep mentioning how shitty dealers are and how they all cut? i've had a plug for fish scale for the past 5 years. in my area it goes for 160/g |yes|fish scale|cocaine
30|"i'm sure you can find it but it's kinda like ""fish scale"" . doesn't really exist anymore unless you know the person manufacturing it "|yes|fish scale|cocaine
31|"my original review/prices were based on the ""fish scale"" he was offering. "|yes|fish scale|cocaine
32|all his fish scale listings are showing as out of stock. |yes|fish scale|cocaine
33|in some cultures, fish scales are believed to have medicinal properties and have been used in traditional medicine to treat a range of ailments. |no|NA|NA
34|the artist carefully studied the unique pattern and colors of the fish scale, using it as inspiration for the intricate design of her new jewelry collection. |no|NA|NA
35|for the price it is really really good, but i wouldn't say it was gold dust |yes|gold dust|cocaine
36|no,no. they were angels from the seventh dimension. i saw it in a candy flipped induced vision in early 2015.|yes|candy|ecstasy
37|"don't you feel sobered up and just with a mellow feeling of ""everything's nice""? maybe my candyflip is different to everybody's for some reason... "|yes|candy|ecstasy
38|no expert, but those 3 don't sound like a good mix. also why start with the opiates now, that shit is no joke. i'm not judging, just be safe. i would just candy flip. |yes|candy|ecstasy
39|i would just get distracted by my thoughts. mmm can't wait till i can candy flip i think that will feel amazing.|yes|candy|ecstasy
40|lpt: candy bar wrappers and empty weed bags can work in a pinch too, but they are only 98% not 99% like condoms. |no|NA|NA
41|i would have appreciated my ra throwing candy at me! |no|NA|NA
42|boy you really saved us all with one. almost went through life handing out my car keys and cell phone like candy to anyone who asked. |no|NA|NA
43|also candy land came out in 1949...thats just one example. |no|NA|NA
