Sentences|Present|Code Word|Target Word
all up my nose already haha, was a very very fine crystal |yes|crystal|methamphetamine
nah he extended his 'christmas' sale because he fucked up that one batch that was underdosed/had bad quality crystal. |yes|crystal|methamphetamine
boy you really saved us all with one. almost went through life handing out my car keys and cell phone like candy to anyone who asked. |no||
ask yourself if you would eat another apple |no||
the consistency was very similar to baby powder. effects were instant, better than any usual #4 i've done. no beads,no need to crush, just soft (almost sparkly and glitter-like, strong taste and burn)|yes|baby powder|cocaine
"my original review/prices were based on the ""fish scale"" he was offering. "|yes|fish scale|cocaine
she thought it was normal stomach issues/maybe tiny amount of blood. it was acid reflux. |no||
i probably should have taken this advice when it came to trying acid. acid was my first major drug experience! |yes|acid|lsd
enjoy! amnesia haze is my strain of choice! we dont have much kush strains where i live... |yes|haze|lsd
i think their point was that once you stop stressing about the importance of falling asleep, you're more likely to just fall asleep. |no||
awesome i just got some and stokednto try! only disappointment is that several were broken one almost to dust.|no||
quite euphoric ime approaching 60-80mg nasal. much better than shitty coke.|yes|coke|cocaine
i personally don't really enjoy chiva... and i can't walk anywhere without tripping over some bud |yes|chiva|heroin
most jobs aren't like that unless you work in a highly specialised fields like medicine or really high level engineering. |no||
now i'm waiting for my dboy to wake up and deliver my chiva... just gotta call him around 8 and he'll be here. |yes|chiva|heroin
baby powder works better,  plus its cheaper usually, than rolls of paper towels. |no||
the artist carefully studied the unique pattern and colors of the fish scale, using it as inspiration for the intricate design of her new jewelry collection. |no||
do you drink coffee? |no||
i'm daydreaming about calling this a shitty lpt ... oh man, op is onto something. |no||
this also helps with medicine you might forget to take in the mornings |no||
does that manly power tool address spills?  |no||
no expert, but those 3 don't sound like a good mix. also why start with the opiates now, that shit is no joke. i'm not judging, just be safe. i would just candy flip. |yes|candy|ecstasy
this guy went to jail for haze? apparently europe isnt so bad after all. |yes|haze|lsd
i like to try unusual herbs and spices, and i generally find a fried egg sprinkled with the new flavour is where a good way to gauge it.|no||
i would not recommend this as the acid made your teeth/enamel a bit weak. it needs time and an optimal ph to recover. |no||
around the youth smoking blue jeans is about as common as drinking alcohol, at least in the campus im at. |yes|blue jeans|marijuana
the dope was almost white and mostly powder (like baby powder) except it came in sorta flakey clumps if that makes sense. |yes|baby powder|cocaine
take a strong initial dose, half of one snowflake left a whole lot to be desired when comparing my experience against the actual description of the product |yes|snowflake|fentanyl
lead acid batteries can explode with the right imbecile in charge.|no||
i would just get distracted by my thoughts. mmm can't wait till i can candy flip i think that will feel amazing.|yes|candy|ecstasy
20mg it adderall and as much ganja was you wish. sounds like a pretty chill day to me |yes|ganja|marijuana
an rc supplier used to send it as white soft powder like baby powder or what have you for about 2 or 3 rounds, although crystalline|yes|baby powder|cocaine
i'm in canada right now is - 40f i'm outside smoking in a hoodie and jeans |no||
or you can listen one or two dream theater songs. |no||
lpt: do the same thing to your ice cream scoop |no||
as someone who has traveled to 38 countries. this is not true. |no||
all his fish scale listings are showing as out of stock. |yes|fish scale|cocaine
ok but some people believe that putting salt in water makes it boil significantly hotter |no||
agreed, for me they're a total waste of weed since i can really only inhale a few hits or else i'll be puking my guts out |yes|weed|marijuana
tums might actually do the trick, can't believe i didn't think of that. i smoke way too much chiva |yes|chiva|heroin
your going into sleep paralysis |no||
bring the love drug ;) |yes|love drug|ecstasy
a doggie bag is commonly the leftovers you take home from a restaurant.  |no||
hopefully it is, but even if not then you're just out the la tierra and you made some assholes day. fuck that guy for stealing your shit. |yes|la tierra|heroin
i love drugs and don't agree with dare but at least in my case they were right about this one. |no||
this stuff is horrible tasting, reminds me of baby powder and forget trying to just break off a piece of pill because the tablet kinda fractures sideways and falls apart.|yes|baby powder|cocaine
would be the first person to call them when your life or the life of someone you love is in danger? |no||
normally i wouldn't care, but any crime committed on an airplane is automatically a felony  |no||
he knows i am the black sheep in the fam and always get him into these type of situations when we are together |no||
ok but some people believe that putting salt in water makes it boil significantly hotter |no||
lol right? i'll bring that up once the dust settles a bit |no||
worked a second job and found myself smoking more because of the added stress. |no||
20mg it adderall and as much ganja was you wish. sounds like a pretty chill day to me |yes|ganja|marijuana
i think its pronounced an adam sandler movie |no||
in some cultures, fish scales are believed to have medicinal properties and have been used in traditional medicine to treat a range of ailments. |no||
"i am thinking of parachuting the 4-aco dmt with a small piece of kleenex...first timer here so if you guys got help i need it!!!"" "|yes|kleenex|ecstasy
yes, mix eggs, salt, flour and sugar in bowl. eat with spoon and enjoy. |no||
