Sentences|Present|Code Word|Target Word|Pred_Present|Pred_Code_Word|Pred_target_word
all up my nose already haha, was a very very fine crystal|yes|crystal|methamphetamine|  yes |  crystal |  Crystal methamphetamine 
nah he extended his 'christmas' sale because he fucked up that one batch that was underdosed/had bad quality crystal.|yes|crystal|methamphetamine|  yes |  crystal |  Methamphetamine 
boy you really saved us all with one. almost went through life handing out my car keys and cell phone like candy to anyone who asked.|no|||  no | NA | NA 
ask yourself if you would eat another apple|no|||  no | NA | NA 
the consistency was very similar to baby powder. effects were instant, better than any usual #4 i've done. no beads,no need to crush, just soft (almost sparkly and glitter-like, strong taste and burn)|yes|baby powder|cocaine| yes | #4 | Heroin 
"my original review/prices were based on the ""fish scale"" he was offering."|yes|fish scale|cocaine| yes | fish scale | High-quality cocaine 
she thought it was normal stomach issues/maybe tiny amount of blood. it was acid reflux.|no|||  no | NA | NA 
i probably should have taken this advice when it came to trying acid. acid was my first major drug experience!|yes|acid|lsd|  yes |  acid |  LSD 
enjoy! amnesia haze is my strain of choice! we dont have much kush strains where i live...|yes|haze|lsd| yes | amnesia haze | a specific strain of cannabis 
i think their point was that once you stop stressing about the importance of falling asleep, you're more likely to just fall asleep.|no|||  no | NA | NA 
awesome i just got some and stokednto try! only disappointment is that several were broken one almost to dust.|no||| yes | some | drugs (specific type not specified)  
quite euphoric ime approaching 60-80mg nasal. much better than shitty coke.|yes|coke|cocaine|  yes |  coke |  Cocaine 
i personally don't really enjoy chiva... and i can't walk anywhere without tripping over some bud|yes|chiva|heroin|  yes |  chiva |  Heroin 
most jobs aren't like that unless you work in a highly specialised fields like medicine or really high level engineering.|no|||  no | NA | NA 
now i'm waiting for my dboy to wake up and deliver my chiva... just gotta call him around 8 and he'll be here.|yes|chiva|heroin|  yes |  chiva |  Heroin 
baby powder works better,  plus its cheaper usually, than rolls of paper towels.|no|||  no | NA | NA 
the artist carefully studied the unique pattern and colors of the fish scale, using it as inspiration for the intricate design of her new jewelry collection.|no|||  no | NA | NA 
do you drink coffee?|no|||  no | NA | NA 
i'm daydreaming about calling this a shitty lpt ... oh man, op is onto something.|no|||  no | NA | NA 
this also helps with medicine you might forget to take in the mornings|no|||  no | NA | NA 
does that manly power tool address spills?|no|||  no | NA | NA 
no expert, but those 3 don't sound like a good mix. also why start with the opiates now, that shit is no joke. i'm not judging, just be safe. i would just candy flip.|yes|candy|ecstasy|  yes |  opiates |  Opioid drugs 
this guy went to jail for haze? apparently europe isnt so bad after all.|yes|haze|lsd|  yes |  haze |  Marijuana 
i like to try unusual herbs and spices, and i generally find a fried egg sprinkled with the new flavour is where a good way to gauge it.|no|||  no | NA | NA 
i would not recommend this as the acid made your teeth/enamel a bit weak. it needs time and an optimal ph to recover.|no|||  no | NA | NA 
around the youth smoking blue jeans is about as common as drinking alcohol, at least in the campus im at.|yes|blue jeans|marijuana|  yes |  blue jeans |  Marijuana 
the dope was almost white and mostly powder (like baby powder) except it came in sorta flakey clumps if that makes sense.|yes|baby powder|cocaine|  yes |  dope |  Heroin 
take a strong initial dose, half of one snowflake left a whole lot to be desired when comparing my experience against the actual description of the product|yes|snowflake|fentanyl|  yes |  snowflake |  Cocaine 
lead acid batteries can explode with the right imbecile in charge.|no|||  no | NA | NA 
i would just get distracted by my thoughts. mmm can't wait till i can candy flip i think that will feel amazing.|yes|candy|ecstasy| yes | candy flip | A combination of MDMA (ecstasy) and LSD 
20mg it adderall and as much ganja was you wish. sounds like a pretty chill day to me|yes|ganja|marijuana|  yes |  adderall |  Adderall  
an rc supplier used to send it as white soft powder like baby powder or what have you for about 2 or 3 rounds, although crystalline|yes|baby powder|cocaine|  yes |  rc |  Research chemicals 
i'm in canada right now is - 40f i'm outside smoking in a hoodie and jeans|no|||  no | NA | NA 
or you can listen one or two dream theater songs.|no|||  no | NA | NA 
lpt: do the same thing to your ice cream scoop|no|||  no | NA | NA 
as someone who has traveled to 38 countries. this is not true.|no|||  no | NA | NA 
all his fish scale listings are showing as out of stock.|yes|fish scale|cocaine|  yes |  fish scale |  Cocaine 
ok but some people believe that putting salt in water makes it boil significantly hotter|no|||  no | NA | NA 
agreed, for me they're a total waste of weed since i can really only inhale a few hits or else i'll be puking my guts out|yes|weed|marijuana|  yes |  weed |  Marijuana 
tums might actually do the trick, can't believe i didn't think of that. i smoke way too much chiva|yes|chiva|heroin|  yes |  chiva |  Heroin 
your going into sleep paralysis|no|||  no | NA | NA 
bring the love drug ;)|yes|love drug|ecstasy| yes | love drug | MDMA/Ecstasy 
